year,decade,rank,title,artist
1961,1960s,7,Pony Time,Chubby Checker
1961,1960s,8,Wheels,The String-A-Longs
1961,1960s,9,Raindrops,Dee Clark
1961,1960s,10,Wooden Heart,Joe Dowell
1961,1960s,11,Calcutta,Lawrence Welk
1961,1960s,12,Take Good Care of My Baby,Bobby Vee
1961,1960s,13,Running Scared,Roy Orbison
1961,1960s,14,Dedicated to the One I Love,The Shirelles
1961,1960s,15,Last Night,The Mar-Keys
1961,1960s,16,Will You Love Me Tomorrow,The Shirelles
1961,1960s,17,Exodus,Ferrante & Teicher
1961,1960s,18,Where the Boys Are,Connie Francis
1961,1960s,19,Hit the Road Jack,Ray Charles
1961,1960s,20,Sad Movies (Make Me Cry),Sue Thompson
1961,1960s,21,Mother-in-Law,Ernie K-Doe
1961,1960s,22,Bristol Stomp,The Dovells
1961,1960s,23,Travelin' Man,Ricky Nelson
1961,1960s,24,Shop Around,The Miracles
1961,1960s,25,The Boll Weevil Song,Brook Benton
1961,1960s,26,A Hundred Pounds of Clay,Gene McDaniels
1961,1960s,27,The Mountain's High,Dick and Dee Dee
1961,1960s,28,Don't Worry,Marty Robbins
1961,1960s,29,On the Rebound,Floyd Cramer
1961,1960s,30,Portrait of My Love,Steve Lawrence
1961,1960s,31,Quarter to Three,Gary U.S. Bonds
1961,1960s,32,"Who Put the Bomp (in the Bomp, Bomp, Bomp)",Barry Mann
1961,1960s,33,Calendar Girl,Neil Sedaka
1961,1960s,34,I Like It Like That,Chris Kenner
1961,1960s,35,Apache,Jørgen Ingmann
1961,1960s,36,Don't Bet Money Honey,Linda Scott
1961,1960s,37,Without You,Johnny Tillotson
1961,1960s,38,Wings of a Dove,Ferlin Husky
1961,1960s,39,Little Sister,Elvis Presley
1961,1960s,40,Blue Moon,The Marcels
1961,1960s,41,Daddy's Home,Shep and the Limelites
1961,1960s,42,This Time,Troy Shondell
1961,1960s,43,(I Don't Know Why) But I Do,"Clarence ""Frogman"" Henry"
1961,1960s,44,Asia Minor,Kokomo
1961,1960s,45,Hello Walls,Faron Young
1961,1960s,46,Runaround Sue,Dion
1961,1960s,47,Yellow Bird,Arthur Lyman
1961,1960s,48,Hurt,Timi Yuro
1961,1960s,49,Hello Mary Lou,Ricky Nelson
1961,1960s,50,There's a Moon Out Tonight,The Capris
1961,1960s,51,Surrender,Elvis Presley
1961,1960s,52,I Love How You Love Me,The Paris Sisters
1961,1960s,53,Ya Ya,Lee Dorsey
1961,1960s,54,School Is Out,Gary U.S. Bonds
1961,1960s,55,Mexico,Bob Moore
1961,1960s,56,You Don't Know What You've Got (Until You Lose It),Ral Donner
1961,1960s,57,Walk Right Back,The Everly Brothers
1961,1960s,58,The Way You Look Tonight,The Lettermen
1961,1960s,59,Moody River,Pat Boone
1961,1960s,60,One Mint Julep,Ray Charles
1961,1960s,61,Take Good Care of Her,Adam Wade
1961,1960s,62,Gee Whiz (Look at His Eyes),Carla Thomas
